,Rad,TSCC
0,0.05,5075364.7
1,0.1,3969384.8
2,0.15,2823652.65
3,0.2,2322176.8
4,0.25,1489184.15
5,0.3,912738.95
6,0.35,867162.15
7,0.4,1028091.0
8,0.45,914926.6
9,0.5,833645.25
10,0.55,865914.75
11,0.6,772514.6
12,0.65,913167.9
13,0.7,910676.6
14,0.75,905755.4
15,0.8,950793.15
16,0.85,1009812.6
17,0.9,889630.4
18,0.95,954422.4
19,1.0,1019924.0
20,0.05,23469410.8
21,0.1,18931866.35
22,0.15,14866187.7
23,0.2,12462275.9
24,0.25,8091978.65
25,0.3,7673293.55
26,0.35,6051783.65
27,0.4,5173477.6
28,0.45,4039819.05
29,0.5,3808104.5
30,0.55,3265457.9
31,0.6,3643763.2
32,0.65,2987876.2
33,0.7,2953223.6
34,0.75,3093030.65
35,0.8,2756930.4
36,0.85,3053806.45
37,0.9,2455741.95
38,0.95,2548371.7
39,1.0,2736148.8
40,0.05,13817513.4
41,0.1,10351437.5
42,0.15,7221991.1
43,0.2,5583230.9
44,0.25,2886914.3
45,0.3,2593685.7
46,0.35,2154443.6
47,0.4,2242012.3
48,0.45,2053841.3
49,0.5,1789108.5
50,0.55,2103595.1
51,0.6,1788538.0
52,0.65,2061939.2
53,0.7,2305067.8
54,0.75,2212733.1
55,0.8,1948404.9
56,0.85,1969186.0
57,0.9,2233699.8
58,0.95,2322631.2
59,1.0,1886124.4
